GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
0T30,AEK,33.8125,-88.515278,356,Dock,Tom Soya Grain Co. Port of Aberdeen Dry Bulk Wharf.,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
10GC,JSP,33.81264,-87.067645,428,Mile point,MILE 428  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0DQP,RAE,33.81321,-91.04858,586,Mile point,MILE 586  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
10G9,JSP,33.815209,-87.111387,424,Mile point,MILE 424  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
10G8,JSP,33.817195,-87.127808,423,Mile point,MILE 423  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
10GD,JSP,33.819373,-87.068594,430,Mile point,MILE 430  BWWT,Black Warrior and Tombigbee Rivers AL,Black Warrior and Tombigbee Rivers AL
0T2V,AEK,33.820833,-88.5175,356.8,Dock,Tom Soya Grain Co. Old U.S. 45 Bridge Pier Wharf.,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0DS6,,33.822177,-91.107497,9,,RIVER MILE,Arkansas River Mouth to Dam No 2 AR,Arkansas River Mouth to Dam No 2 AR
0TN0,RAE,33.8225,-91.021944,2.5,Dock,Rosedale-Bolivar County Port Commission Dry-Bulk Unloading Dock.,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0U03,RAE,33.8225,-91.021944,2.6,Dock,Rosedale-Bolivar County Port Commission Public Dock.,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0Q1H,RAE,33.8225,-91.02194,585,Dock,HELENA CHEMICAL COMPANY,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
1097,AEK,33.823094,-88.518177,357,Mile point,MILE 357  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0WVC,RAE,33.823611,-91.0225,2.7,Dock,JIMMY SANDERS ROSEDALE FERTILIZER DOCK,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0WVD,RAE,33.825,-91.023611,2.8,Dock,JIMMY SANDERS ROSEDALE GRAIN DOCK,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0J8V,ACZ,33.825516,-79.052592,41,Open Water,FISH GROUNDS,Waccamaw River SC,Waccamaw River SC
